"flex href","align-center src","truncate","bg-gray-med_light","ml-1 href","align-center src 2","truncate 2","truncate 3","truncate href","text-black-main","flex-center","flex-center 2","flex-center 3","bg-gray-light","next-m:flex href","flex","min-mt:order-3 src","participant-name","participant-name 2","height-content","height-content 2","height-content 3","height-content 4","h-[18px] src"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/europe/","https://cci2.oddsportal.com/country-flags/6.svg","Europe","Euro Women","https://www.oddsportal.com/football/europe/euro-women/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/europe/euro-women/germany-poland-jkozGyfC/","00:00","https://www.oddsportal.com/serve/images/team-logo/Women/0jxFjMm9-EFNlqax9.png?250704131425","Germany W","Poland W","1.08","11.46","24.69","17",""
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/northern-ireland/","https://cci2.oddsportal.com/country-flags/144.svg","Northern Ireland","Premiership Women","https://www.oddsportal.com/football/northern-ireland/premiership-women/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/northern-ireland/premiership-women/crusaders-cliftonville-ANsWyvd4/","00:00","https://www.oddsportal.com/serve/images/team-logo/Women/OxK7RRPt-zkCOxBdB.png?250704131425","Crusaders W","Cliftonville W","31.07","10.07","1.03","10","https://www.oddsportal.com/serve/images/team-logo/Women/GYrN8aoh-UcAAYIEa.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/world/","https://cci2.oddsportal.com/country-flags/8.svg","World","FIFA Club World Cup","https://www.oddsportal.com/football/world/fifa-club-world-cup/","Tomorrow, 05 Jul  - Play Offs","1","X","2","B's","https://www.oddsportal.com/football/world/fifa-club-world-cup/fluminense-al-hilal-WQD4WasH/","00:00","https://www.oddsportal.com/serve/images/team-logo/Men/6LFHtiTc-WUfDDYk1.png?250704131425","Fluminense","Al Hilal","3.11","3.17","2.44","18","https://www.oddsportal.com/serve/images/team-logo/Men/QgqupNph-joUWHZ1t.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/world/","https://cci2.oddsportal.com/country-flags/8.svg","World","Friendly International","https://www.oddsportal.com/football/world/friendly-international/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/world/friendly-international/senegal-guinea-K0HvRPC7/","00:00","https://www.oddsportal.com/serve/images/team-logo/Men/rXQVCnmh-lQcLqf4g.png?250704131425","Senegal","Guinea","1.89","3.47","3.68","13",""
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/iceland/","https://cci2.oddsportal.com/country-flags/is.svg","Iceland","Division 1","https://www.oddsportal.com/football/iceland/division-1/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/iceland/division-1/fylkir-ir-reykjavik-Ug3GWzKk/","00:15","https://www.oddsportal.com/serve/images/team-logo/Men/vZIWfhRc-YFWSwCkg.png?250704131425","Fylkir","IR Reykjavik","2.38","3.60","2.52","17","https://www.oddsportal.com/serve/images/team-logo/Men/jewsMlQt-rgYuXGKm.png?250704131425"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/iceland/division-1/leiknir-reykjavik-fjolnir-WIqBhIt9/","00:15","https://www.oddsportal.com/serve/images/team-logo/Men/C4Yt6P83-GvStD1NM.png?250704131425","Leiknir","Fjolnir","1.74","4.06","3.66","17","https://www.oddsportal.com/serve/images/team-logo/Men/MwbT7Y5n-Grlam9Tu.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/iceland/","https://cci2.oddsportal.com/country-flags/is.svg","Iceland","Division 2","https://www.oddsportal.com/football/iceland/division-2/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/iceland/division-2/haukar-kari-fR3T5aTO/","00:15","https://www.oddsportal.com/serve/images/team-logo/Men/2qOqOM73-AZnOPGmc.png?250704131425","Haukar","Kari","1.57","4.21","4.35","15","https://www.oddsportal.com/serve/images/team-logo/Men/tnvqdmm9-8r8kiWIb.png?250704131425"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/iceland/division-2/throttur-vogar-grotta-AwvwQ2Et/","00:15","https://www.oddsportal.com/serve/images/team-logo/Men/t291Mf93-A5NQVAWs.png?250704131425","Throttur Vogar","Grotta","2.17","3.74","2.66","15","https://www.oddsportal.com/serve/images/team-logo/Men/v5ieGEUE-G0BCkS3I.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/peru/","https://cci2.oddsportal.com/country-flags/pe.svg","Peru","Liga 1","https://www.oddsportal.com/football/peru/liga-1/","Tomorrow, 05 Jul  - Apertura","1","X","2","B's","https://www.oddsportal.com/football/peru/liga-1/los-chankas-ad-tarma-AaLgIG54/","01:15","https://www.oddsportal.com/serve/images/team-logo/Men/4xr5zvBK-v9LWknvd.png?250704131425","Los Chankas","AD Tarma","2.48","3.33","2.71","19","https://www.oddsportal.com/serve/images/team-logo/Men/lStr9Rm9-z942qmGf.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/paraguay/","https://cci2.oddsportal.com/country-flags/py.svg","Paraguay","Division Intermedia","https://www.oddsportal.com/football/paraguay/division-intermedia/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/paraguay/division-intermedia/12-de-junio-sportivo-carapegua-2uTFs4Ya/","01:30","https://www.oddsportal.com/serve/images/team-logo/Men/IuI1DwPt-G8DKctQf.png?250704131425","12 de Junio","Sp. Carapegua","1.97","3.23","3.49","16","https://www.oddsportal.com/serve/images/team-logo/Men/6ybxSM93-z96RnWye.png?250704131425"
